ride_id,rideable_type,started_at,ended_at,ride_length,day_of_week,start_station_name,end_station_name,member_casual
21744647,classic_bike,2019-01-02 7:08:26,2019-01-02 7:10:32,0:02:06,4,Morgan St & Lake St,Racine Ave (May St) & Fulton St,NA
21744648,classic_bike,2019-01-02 7:09:13,2019-01-02 7:14:50,0:05:37,4,Clark St & Lake St,Stetson Ave & South Water St,NA
21744649,classic_bike,2019-01-02 7:09:13,2019-01-02 7:16:50,0:07:37,4,Indiana Ave & Roosevelt Rd,Dearborn St & Adams St,NA
21744650,classic_bike,2019-01-02 7:09:19,2019-01-02 7:34:11,0:24:52,4,Canal St & Adams St,Southport Ave & Clybourn Ave,NA
21744651,classic_bike,2019-01-02 7:09:28,2019-01-02 7:20:42,0:11:14,4,Sedgwick St & Huron St,Michigan Ave & Madison St,NA
21744653,classic_bike,2019-01-02 7:09:52,2019-01-02 7:17:53,0:08:01,4,Clark St & Elm St,LaSalle St & Illinois St,NA
21744655,classic_bike,2019-01-02 7:09:50,2019-01-02 7:22:01,0:12:11,4,Dearborn Pkwy & Delaware Pl,Canal St & Madison St,NA
21744656,classic_bike,2019-01-02 7:10:04,2019-01-02 7:15:14,0:05:10,4,Lincolnwood Dr & Central St,Central St Metra,NA
21744657,classic_bike,2019-01-02 7:10:11,2019-01-02 7:17:41,0:07:30,4,Federal St & Polk St,Franklin St & Quincy St,NA
21744659,classic_bike,2019-01-02 7:10:23,2019-01-02 7:17:15,0:06:52,4,Larrabee St & Oak St,Michigan Ave & Oak St,NA
21744661,classic_bike,2019-01-02 7:10:32,2019-01-02 7:15:44,0:05:12,4,Clark St & Armitage Ave,Bissell St & Armitage Ave,NA
21744662,classic_bike,2019-01-02 7:10:50,2019-01-02 7:20:04,0:09:14,4,Canal St & Adams St,Wabash Ave & Wacker Pl,NA
21744663,classic_bike,2019-01-02 7:10:54,2019-01-02 7:16:43,0:05:49,4,Canal St & Adams St,Clark St & Randolph St,NA
21744664,classic_bike,2019-01-02 7:10:52,2019-01-02 7:20:12,0:09:20,4,Morgan St & Lake St,Franklin St & Monroe St,NA
21744665,classic_bike,2019-01-02 7:10:53,2019-01-02 7:18:47,0:07:54,4,Dearborn Pkwy & Delaware Pl,Wells St & Concord Ln,NA
21744668,classic_bike,2019-01-02 7:11:36,2019-01-02 7:20:39,0:09:03,4,Kingsbury St & Erie St,Canal St & Adams St,NA
21744669,classic_bike,2019-01-02 7:12:02,2019-01-02 7:29:31,0:17:29,4,Clinton St & Jackson Blvd (*),Wolcott Ave & Polk St,NA
21744670,classic_bike,2019-01-02 7:12:13,2019-01-02 7:20:23,0:08:10,4,Wells St & Polk St,Clinton St & Madison St,NA
21744672,classic_bike,2019-01-02 7:12:35,2019-01-02 7:19:33,0:06:58,4,State St & Kinzie St,LaSalle St & Jackson Blvd,NA
21744673,classic_bike,2019-01-02 7:12:52,2019-01-02 7:22:49,0:09:57,4,Desplaines St & Kinzie St,Canal St & Harrison St,NA
21744674,classic_bike,2019-01-02 7:12:55,2019-01-02 7:18:33,0:05:38,4,Larrabee St & Oak St,Kingsbury St & Kinzie St,NA
21744675,classic_bike,2019-01-02 7:13:19,2019-01-02 7:19:24,0:06:05,4,Milwaukee Ave & Grand Ave,Kingsbury St & Kinzie St,NA
21744676,classic_bike,2019-01-02 7:13:21,2019-01-02 7:31:21,0:18:00,4,Sedgwick St & Webster Ave,Wells St & Hubbard St,NA
21744678,classic_bike,2019-01-02 7:14:01,2019-01-02 7:18:38,0:04:37,4,Desplaines St & Jackson Blvd,Clinton St & Lake St,NA
21744679,classic_bike,2019-01-02 7:14:16,2019-01-02 7:17:11,0:02:55,4,Kingsbury St & Erie St,Kingsbury St & Kinzie St,NA
21744680,classic_bike,2019-01-02 7:14:16,2019-01-02 7:16:25,0:02:09,4,Clifton Ave & Armitage Ave,Bissell St & Armitage Ave,NA
21744681,classic_bike,2019-01-02 7:14:43,2019-01-02 7:20:41,0:05:58,4,Desplaines St & Kinzie St,Canal St & Madison St,NA
21744683,classic_bike,2019-01-02 7:14:54,2019-01-02 7:23:05,0:08:11,4,Wells St & Huron St,Dearborn St & Monroe St,NA
21744684,classic_bike,2019-01-02 7:15:01,2019-01-02 7:26:44,0:11:43,4,McClurg Ct & Illinois St,Larrabee St & Kingsbury St,NA
21744685,classic_bike,2019-01-02 7:15:02,2019-01-02 7:17:23,0:02:21,4,Southport Ave & Waveland Ave,Southport Ave & Roscoe St,NA
21744686,classic_bike,2019-01-02 7:15:16,2019-01-02 7:21:54,0:06:38,4,Aberdeen St & Jackson Blvd,LaSalle St & Jackson Blvd,NA
21744687,classic_bike,2019-01-02 7:15:38,2019-01-02 7:43:18,0:27:40,4,Wilton Ave & Belmont Ave,Clinton St & Madison St,NA
21744688,classic_bike,2019-01-02 7:15:56,2019-01-02 7:26:24,0:10:28,4,Canal St & Adams St,Rush St & Hubbard St,NA
21744689,classic_bike,2019-01-02 7:16:04,2019-01-02 7:23:30,0:07:26,4,Canal St & Adams St,Michigan Ave & Lake St,NA
